time1,time2,lat1,lon1,alt1,lat2,lon2,alt2,Nationality
3005,4916,8.534960861,0.975721054,0,-10.77310899,-53.08981997,1455,Togo
3669,4399,8.534960861,0.975721054,12192,-10.77310899,-53.08981997,5860,Togo
3239,4498,8.534960861,0.975721054,305,-1.427420251,-78.76707246,1852,Togo
5475,6535,-35.37643789,-65.16772759,0,-35.37643789,-65.16772759,137,Argentina
5706,6041,-35.37643789,-65.16772759,10363,-35.37643789,-65.16772759,8,Argentina
5369,6656,-35.37643789,-65.16772759,914,-35.37643789,-65.16772759,244,Argentina
5966,6340,-35.37643789,-65.16772759,0,-35.37643789,-65.16772759,282,Argentina
5297,6875,-35.37643789,-65.16772759,9449,-35.37643789,-65.16772759,8412,Argentina
5080,6199,-35.37643789,-65.16772759,0,3.90115501,-73.07336878,632,Argentina
5914,6920,-35.37643789,-65.16772759,10363,3.90115501,-73.07336878,579,Argentina
5334,6637,-35.37643789,-65.16772759,1524,-1.427420251,-78.76707246,160,Argentina
5732,6700,-35.37643789,-65.16772759,5182,-1.427420251,-78.76707246,10363,Argentina
5347,6702,-35.37643789,-65.16772759,6096,13.7368968,-88.86651154,610,Argentina
5219,6753,-35.37643789,-65.16772759,914,13.7368968,-88.86651154,2278,Argentina
5373,6964,-35.37643789,-65.16772759,305,13.7368968,-88.86651154,-76,Argentina
5350,6409,-35.37643789,-65.16772759,0,14.81922171,-86.6191446,4763,Argentina
5798,6840,-35.37643789,-65.16772759,8839,14.81922171,-86.6191446,-84,Argentina
5953,6216,-35.37643789,-65.16772759,305,14.81922171,-86.6191446,305,Argentina
5434,6904,-35.37643789,-65.16772759,2743,14.81922171,-86.6191446,9609,Argentina
5088,6660,-35.37643789,-65.16772759,13106,14.81922171,-86.6191446,107,Argentina
5821,6806,-35.37643789,-65.16772759,11887,14.81922171,-86.6191446,305,Argentina
5196,6064,-35.37643789,-65.16772759,0,14.81922171,-86.6191446,152,Argentina
5553,6901,-35.37643789,-65.16772759,0,14.81922171,-86.6191446,91,Argentina
5072,6024,-35.37643789,-65.16772759,3658,14.81922171,-86.6191446,-122,Argentina
5922,6293,-35.37643789,-65.16772759,305,14.81922171,-86.6191446,1158,Argentina
5278,6851,-35.37643789,-65.16772759,0,14.81922171,-86.6191446,152,Argentina
5651,6825,-35.37643789,-65.16772759,1219,12.83990623,-85.03478316,6401,Argentina
5705,6088,-10.77310899,-53.08981997,11278,-10.77310899,-53.08981997,11285,Brazil
5992,6774,-10.77310899,-53.08981997,0,-10.77310899,-53.08981997,1981,Brazil
5768,6821,-10.77310899,-53.08981997,11278,-10.77310899,-53.08981997,6187,Brazil
5460,6987,-10.77310899,-53.08981997,-305,-10.77310899,-53.08981997,10973,Brazil
5405,6425,-10.77310899,-53.08981997,-305,-10.77310899,-53.08981997,2697,Brazil
5069,6753,-10.77310899,-53.08981997,914,-10.77310899,-53.08981997,884,Brazil
5210,6576,-10.77310899,-53.08981997,914,9.970202863,-84.18794118,914,Brazil
5408,6301,-10.77310899,-53.08981997,3048,14.81922171,-86.6191446,9449,Brazil
5179,6058,-10.77310899,-53.08981997,1829,14.81922171,-86.6191446,389,Brazil
5927,6609,-10.77310899,-53.08981997,305,14.81922171,-86.6191446,-23,Brazil
5910,6462,-10.77310899,-53.08981997,305,12.83990623,-85.03478316,122,Brazil
5989,6277,-10.77310899,-53.08981997,1219,12.83990623,-85.03478316,76,Brazil
